2025-06-09 08:04:46.342 | Temperature = 33.27 °C
2025-06-09 08:04:46.343 | Pressure = 1004.17 hPa
2025-06-09 08:04:46.346 | Humidity = 73.01 %
2025-06-09 08:04:46.346 | Gas = 33.59 KΩ
2025-06-09 08:04:48.711 | Temperature = 33.27 °C
2025-06-09 08:04:48.712 | Pressure = 1004.17 hPa
2025-06-09 08:04:48.715 | Humidity = 73.01 %
2025-06-09 08:04:48.715 | Gas = 33.48 KΩ
2025-06-09 08:04:51.080 | Temperature = 33.27 °C
2025-06-09 08:04:51.080 | Pressure = 1004.16 hPa
2025-06-09 08:04:51.084 | Humidity = 73.02 %
2025-06-09 08:04:51.084 | Gas = 33.59 KΩ
2025-06-09 08:04:53.449 | Temperature = 33.27 °C
2025-06-09 08:04:53.450 | Pressure = 1004.16 hPa
2025-06-09 08:04:53.453 | Humidity = 73.02 %
2025-06-09 08:04:53.453 | Gas = 33.46 KΩ
2025-06-09 08:04:55.818 | Temperature = 33.27 °C
2025-06-09 08:04:55.819 | Pressure = 1004.16 hPa
2025-06-09 08:04:55.822 | Humidity = 73.01 %
2025-06-09 08:04:55.822 | Gas = 33.61 KΩ
2025-06-09 08:04:58.187 | Temperature = 33.27 °C
2025-06-09 08:04:58.187 | Pressure = 1004.16 hPa
2025-06-09 08:04:58.191 | Humidity = 73.00 %
2025-06-09 08:04:58.191 | Gas = 33.48 KΩ
2025-06-09 08:05:00.556 | Temperature = 33.28 °C
2025-06-09 08:05:00.556 | Pressure = 1004.16 hPa
2025-06-09 08:05:00.560 | Humidity = 73.00 %
2025-06-09 08:05:00.560 | Gas = 33.48 KΩ
2025-06-09 08:05:02.926 | Temperature = 33.28 °C
2025-06-09 08:05:02.926 | Pressure = 1004.17 hPa
2025-06-09 08:05:02.929 | Humidity = 73.00 %
2025-06-09 08:05:02.929 | Gas = 33.46 KΩ
2025-06-09 08:05:05.294 | Temperature = 33.28 °C
2025-06-09 08:05:05.294 | Pressure = 1004.17 hPa
2025-06-09 08:05:05.298 | Humidity = 72.99 %
2025-06-09 08:05:05.298 | Gas = 33.46 KΩ
2025-06-09 08:05:07.663 | Temperature = 33.28 °C
2025-06-09 08:05:07.664 | Pressure = 1004.17 hPa
2025-06-09 08:05:07.667 | Humidity = 72.99 %
2025-06-09 08:05:07.667 | Gas = 33.48 KΩ
2025-06-09 08:05:10.032 | Temperature = 33.28 °C
2025-06-09 08:05:10.033 | Pressure = 1004.17 hPa
2025-06-09 08:05:10.036 | Humidity = 72.98 %
2025-06-09 08:05:10.036 | Gas = 33.53 KΩ
2025-06-09 08:05:12.401 | Temperature = 33.28 °C
2025-06-09 08:05:12.402 | Pressure = 1004.17 hPa
2025-06-09 08:05:12.405 | Humidity = 72.96 %
2025-06-09 08:05:12.405 | Gas = 33.51 KΩ
